additive_id	additive	user_id
1	None	71
2	L-Arginine	71
3	Glycerol	71
5	Polyethylene glycol (PEG)	71
6	CHAPS	71
7	Triton X-100	71
8	PNIPAAm	254
9	Glycine	254
10	Lauryl maltoside	71
11	Mannitol	71
12	Ethylene glycol	71
13	1% (v/v) Tween	22
14	Calixarrene	1037
15	(NH4)2SO4	22
16	&beta;-cyclodextrin	22
17	&alpha;-cyclodextrin	1037
18	N-substitued N-methylimidazolium cations	1037
21	Tween 80	1037
33	cystamine	996
34	tween 20	1037
35	sodium dioctyl sulfosuccinate (AOT)	1037
36	Brij 35	1037
37	Brij 35	1037
38	Octylglucoside (OG)	1037
39	Tween 60	1037
40	&#946;-Cyclodextrin polymer	1037
41	Detergents	1037
42	Zwittergent Z-3,14	1037
43	Dextran-grafted-PNIPAAm (DGP)	1037
44	Schiff base reagents from Boston Protein Solutions	1429
45	Schiff base reagents from Boston Protein Solutions	1429
46	Schiff base reagents from Boston Protein Solutions	1429
