domain_id	domain_name
1	Hormone_1
2	RdRP_2
3	Lys
4	HemolysinCabind
5	Lipase_3
6	V-set
7	MHC_II_alpha
8	C1-set
9	MHC_II_beta
10	HCV_env
11	HCV_capsid
12	HCV_core
13	CbiA
14	MinE
15	RF-1
16	PCRF
17	Avidin
18	HRM
19	Pro_isomerase
20	IGPS
21	IFN-gamma
22	Ribosomal_60s
23	RIP
24	HTH_AraC
25	Ras
26	7tm_6
27	GST_C
28	GST_N
29	Interferon
30	Band_7
31	Pyr_redox
32	Pyr_redox_2
33	Biotin_lipoyl
34	Pyr_redox_dim
35	OpcA
36	Myotoxins
37	A1_Propeptide
38	Asp
39	OmpW
40	7tm_1
41	Rad51
42	FOLN
43	SPARC_Ca_bdg
44	Kazal_1
45	Crystall
46	Porin_3
47	Fer2
48	RNA_pol_Rpb1_1
49	Sigma70_r1_2
50	Sigma70_ner
51	Sigma70_r2
52	Sigma70_r3
53	Sigma70_r1_1
54	Sigma70_r4
55	Peptidase_S8
56	Inhibitor_I9
57	WXG100
58	zf-TAZ
59	RnaseA
60	Ank
61	ABC_tran
62	Fibritin_C
63	PLA1
64	MHC_I
65	Leptin
66	Lectin_C
67	EGF
68	GerE
69	Response_reg
70	DHHA1
71	DHH
72	CBM_20
73	Alpha-amylase_C
74	TIG
75	Alpha-amylase
76	RNA_pol_A_CTD
77	RNA_pol_A_bac
78	RNA_pol_L
79	Peptidase_C1
80	Inhibitor_I29
81	Carb_anhydrase
82	Neur_chan_LBD
83	Neur_chan_memb
84	Serpin
85	DNA_binding_1
86	Methyltransf_1N
87	FtsH_ext
88	Peptidase_M41
89	AAA
90	GCV_T_C
91	DAO
92	GCV_T
93	GATA
94	Bmp
95	DHFR_1
96	Kringle
97	TP6A_N
98	MSP1_C
99	AMA-1
100	Trypsin
101	Guanylate_cyc
102	Thioredoxin
103	Transpeptidase
104	Transgly
105	AMP-binding
106	Head_binding
107	PhageP22-tail
108	Annexin
109	Galactosyl_T_2
110	TNF
111	Exotox-A_cataly
112	Exotox-A_target
113	E7
114	TSA
115	IL13
116	zf-C2H2
117	TGFb_propeptide
118	Duffy_binding
119	GFP
120	Pkinase
121	3-HAO
122	Abhydrolase_1
123	Peptidase_M10
124	PDEase_I
125	Staphylcoagulse
126	Insulin
127	Lig_chan
128	Lig_chan-Glu_bd
129	Kunitz_BPTI
130	Rota_NSP4
131	SLT_beta
132	HHH
133	PDGF
134	Porin_OmpG
135	Porin_1
136	CVNH
137	Aminotran_5
138	Lipocalin
139	Serum_albumin
140	Ets
141	SAM_PNT
142	Bac_DNA_binding
143	Merozoite_SPAM
144	SNase
145	NAD_binding_1
146	DHODB_Fe-S_bind
147	fn3
148	EpoR_lig-bind
149	Phospholip_A2_1
150	CART
151	NTF2
152	Profilin
153	Toxin_R_bind_C
154	Ldl_recept_a
