id	groupid	userid	comment	date_created	proteins	link
2	1	988	Comparison of first 6 proteins	1201564839	114,230,688,678,501,502	/compare.php?comparison=114,230,688,678,501,502
3	2	2	...	1201649822	697,699,311,339	/compare.php?comparison=697,699,311,339
4	2	2	Different to other protease protocols	1201762570	291,12,290	/compare.php?comparison=291,12,290
5	7	1071	NULL	1203417591	902,114,230,688,678,501	/compare.php?comparison=902,114,230,688,678,501
6	7	1071	NULL	1203417651	902,114,230,688,678,501	/compare.php?comparison=902,114,230,688,678,501
7	7	1071	NULL	1203417653	902,114,230,688,678,501	/compare.php?comparison=902,114,230,688,678,501
8	7	1071	NULL	1203417654	902,114,230,688,678,501	/compare.php?comparison=902,114,230,688,678,501
9	2	2	...	1203827783	337,293,388,801,907	/compare.php?comparison=337,293,388,801,907
10	1	988	NULL	1204066868	388,907,293,801,337	/compare.php?comparison=388,907,293,801,337
12	2	2	No other reports in literature	1207923909	902,688,229,352,697,699	/compare.php?comparison=902,688,229,352,697,699
13	43	1173	NULL	1208192568	902,230,688,925,1055,522,229,1046,929,888,352,291,290,848,68,889,843,625,270,268,269,267,697,699,627	/compare.php?comparison=902,230,688,925,1055,522,229,1046,929,888,352,291,290,848,68,889,843,625,270,268,269,267,697,699,627
14	2	2	Dilution is best method. Chaperones improve yield.  Arginine has no effect	1208402954	337,293,388,801	/compare.php?comparison=337,293,388,801
15	48	205	NULL	1209538440	882,542,886,703,704,304	/compare.php?comparison=882,542,886,703,704,304
16	48	205	NULL	1209539103	63,363,495,496,132	/compare.php?comparison=63,363,495,496,132
17	60	1215	NULL	1212323309	1188	/compare.php?comparison=1188
18	2	2	NULL	1213320764	1020,1085,1086,1087,1088,1089,1109,1110,1097,1114,1098,873	/compare.php?comparison=1020,1085,1086,1087,1088,1089,1109,1110,1097,1114,1098,873
19	3	1037	NULL	1214953138	532,533,534,535,536,537,538,224,1008	/compare.php?comparison=532,533,534,535,536,537,538,224,1008
20	71	1260	NULL	1217403632	1188,902,1264,1308,1309,230,688,925,1055,522,229,1046,929,888,352,291,290,848,68,889,625,270,1179,268,269	/compare.php?comparison=1188,902,1264,1308,1309,230,688,925,1055,522,229,1046,929,888,352,291,290,848,68,889,625,270,1179,268,269
21	71	1260	NULL	1217403925	1188,902,1264,1195,114,926	/compare.php?comparison=1188,902,1264,1195,114,926
22	71	1260	NULL	1217412111	230,688,522,291,290,1018,1238,358,1140,892,1001,71,542,543,366,833,834,835,221,378,601,703,1104,1047,605	/compare.php?comparison=230,688,522,291,290,1018,1238,358,1140,892,1001,71,542,543,366,833,834,835,221,378,601,703,1104,1047,605
23	71	1260	NULL	1217412550	1018,1001,1266,544	/compare.php?comparison=1018,1001,1266,544
24	1	988	...	1217993468	1188,902,1195,1264,114,924	/compare.php?comparison=1188,902,1195,1264,114,924
25	1	988	Compared first 4 proteins in 'protease' search	1217993493	902,688,229,352	/compare.php?comparison=902,688,229,352
26	87	1296	NULL	1218610490	32,904	/compare.php?comparison=32,904
27	88	1297	NULL	1218690827	1188,902,1264,1195,114,926	/compare.php?comparison=1188,902,1264,1195,114,926
28	88	1297	NULL	1218691248	1188,902,1264,1195,114,926	/compare.php?comparison=1188,902,1264,1195,114,926
29	90	1300	NULL	1219124855	836	/compare.php?comparison=836
30	8	752	NULL	1221128941	550,551,554,555,556,557,558	/compare.php?comparison=550,551,554,555,556,557,558
31	120	1334	NULL	1223652249	1188,902,1195,1264,114,924	/compare.php?comparison=1188,902,1195,1264,114,924
32	126	1340	NULL	1226033829	88,1294,1159,1183,1118,1069,45,46,595,1238,56,73,982,596,108,1253,292,1298,343,358,1251,1299,380,1140,1254	/compare.php?comparison=88,1294,1159,1183,1118,1069,45,46,595,1238,56,73,982,596,108,1253,292,1298,343,358,1251,1299,380,1140,1254
33	126	1340	NULL	1226056081	366,833,834,835,208,221,185,203,865,951,234,378,723,1072,603,604,601,981,675,938,1157,1108,962,1034,184	/compare.php?comparison=366,833,834,835,208,221,185,203,865,951,234,378,723,1072,603,604,601,981,675,938,1157,1108,962,1034,184
34	126	1340	NULL	1226060048	1312,703,766,336,755,1104,562,97,1047,877,605,1065,1066,220,100,1020,991,1010,27,370,11,894,312,1160,51	/compare.php?comparison=1312,703,766,336,755,1104,562,97,1047,877,605,1065,1066,220,100,1020,991,1010,27,370,11,894,312,1160,51
