journal_id	journal	user_id
1	J Mol Biol	2
2	Biochemistry	2
3	Proc. Natl. Acad. Sci. USA	2
4	Structure	2
5	Nature Structural Biology	2
6	Protein Science	2
7	Biochem J.	2
8	FEBS Letters	2
9	Protein Expression and Purification	2
10	J Biol Chem	2
11	J Chromatography B	2
12	Analytical Biochemistry	2
13	Biophysical Chemistry	2
14	Biochemical and Biophysical Research Com	2
15	Protein Engineering	2
16	Biotechnol. Appl. Biochem.	2
17	Current Microbiology	2
18	Biotechnology and Bioengineering	2
19	Molecular Immunology	2
20	J Biotechnology	2
21	Archives Biochemistry and Biophysics	2
22	International J. Biological Macromolecul	2
23	BIO/TECHNOLOGY	2
24	Enzyme Microb. Technol.	2
25	Enzyme Microb. Technol.	2
26	Biochim Biophys Acta.	2
27	Gene	2
28	Eur J Biochem.	2
29	Biol Chem Hoppe Seyler.	2
30	Mol Cell Endocrinol	2
31	Biosci Biotechnol Biochem.	2
32	Microbiology	2
33	J Biochem (Tokyo)	2
34	J Immunol Methods	2
35	Bioconjug Chem	2
36	Biochem Soc Trans.	2
37	J Vet Med B Infect Dis Vet Public Health	2
38	J Appl Microbiol	2
39	Pflugers Arch	2
40	J Endocrinol	2
41	Nat Biotechnol.	2
42	J Bioenerg Biomembr	2
43	J Virol Methods	2
50	Unspecified	2
51	Unpublished	2
52	Acta Biochemica et Biophysica Sinica	71
53	Biotechnol Prog	71
54	Acta Crystallographica Section D	76
55	Int Arch Allergy Immunol	71
56	J Controlled Release	71
57	Arch Microbiol	120
58	World J Gastroenterol	136
60	Electronic Journal of Biotechnology	149
61	Science in China	106
62	Journal of Chromatography	106
63	Journal of Chromatography A	106
64	Chinese Chemical Letters	106
65	Journal of Northwest University	106
66	biotechnology letters	215
67	Thrombosis Research	71
68	Cytokine	71
69	Journal of Bacteriology	202
70	Journal of Immunology	71
71	Mol Cell Biochem	71
72	Biochemical Pharmacology	71
73	Infection and Immunity	71
74	Eur J Immunol	71
75	Nature	237
76	Cell	237
77	General and Comparative Endocrinology	71
78	J Biosci Bioeng	71
79	Progress in Growth Factor Research	71
80	Proteins: Structure, Function, and Genetics	254
81	Virology	254
82	Biochem Biophys Res Commun.	254
83	Experimental Parasitology	254
84	Int J Med Microbiol.	254
85	FEMS Microbiology Letters	254
86	J Am Chem Soc	254
87	Appl Microbiol Biotechnol	254
88	Biochimie	254
89	Vaccine	71
90	J Struct Biol.	254
91	J Struct Biol	254
92	J Dermatol Sci	254
93	Int J Biochem Cell Biol	254
94	Exp Eye Res	254
95	Methods	254
96	J Virol	254
97	Gen Comp Endocrinol.	254
98	Mol Cell Endocrinol	254
