project_aim_id	project_aim	user_id
1	Undefined	71
2	Folding	71
3	Crystallography	71
4	NMR	71
5	Functional Studies	71
6	Structure-Function	71
7	Biophysical Studies	71
8	Drug Studies	71
9	Structural Studies	71
11	Assembly	254
12	Antigenic Determinant Identification	254
13	Recombinant Protein Expression	254
14	Protein-Protein Interaction Identification	254
15	Protein refolding	71
16	Protein Transduction	254
17	Protein Labeling	254
18	Vaccine studies	71
19	Evolutionary Studies	254
20	Diagnostic studies	71
21	Identification and Characterization	1037
22	Cloning and expression	1037
23	Over expression & Renaturation	1037
35	Analysis	1037
36	Analysis	1037
37	Analysis	1037
38	Purification & characterization	1037
39	Protein isolation	1037
40	Expression and charactrization	1037
41	Expression and identification	1037
