id	item	results	timestamp
1	<item>\n    <title>Relevance of the flavin binding to the stability and folding of engineered cholesterol oxidase containing noncovalently bound FAD.</title>\n    <link>http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?tmpl=NoSidebarfile&amp;db=PubMed&amp;cmd=Retrieve&amp;list_uids=18218720&amp;dopt=Abstract</link>\n    <description>\n\t<![CDATA[<table border="0" width="100%"><tr><td align="left"/><td align="right"><a href="http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=PubMed&amp;cmd=Display&amp;dopt=PubMed_PubMed&amp;from_uid=18218720">Related Articles</a></td></tr></table>\n        <p><b>Relevance of the flavin binding to the stability and folding of engineered cholesterol oxidase containing noncovalently bound FAD.</b></p>\n        <p>Protein Sci. 2008 Jan 24;</p>\n        <p>Authors:  Caldinelli L, Iametti S, Barbiroli A, Fessas D, Bonomi F, Piubelli L, Molla G, Pollegioni L</p>\n        <p>The flavoprotein cholesterol oxidase (CO) from Brevibacterium sterolicum is a monomeric flavoenzyme containing one molecule of FAD cofactor covalently linked to His69. The elimination of the covalent link following the His69Ala substitution was demonstrated to result in a significant decrease in activity, in the midpoint redox potential of the flavin, and in stability with respect to the wild-type enzyme, but does not modify the overall structure of the enzyme. We used CO as a model system to dissect the changes due to the elimination of the covalent link between the flavin and the protein (by comparing the wild-type and H69A CO holoproteins) with those due to the elimination of the cofactor (by comparing the holo- and apoprotein forms of H69A CO). The apoprotein of H69A CO lacks the characteristic tertiary structure of the holoprotein and displays larger hydrophobic surfaces; its urea-induced unfolding does not occur by a simple two-state mechanism and is largely nonreversible. Minor alterations in the flavin binding region are evident between the native and the refolded proteins, and are likely responsible for the low refolding yield observed. A model for the equilibrium unfolding of H69A CO that also takes into consideration the effects of cofactor binding and dissociation, and thus may be of general significance in terms of the relationships between cofactor uptake and folding in flavoproteins, is presented.</p>\n        <p>PMID: 18218720 [PubMed - as supplied by publisher]</p>\n    ]]></description>\n    <author> Caldinelli L, Iametti S, Barbiroli A, Fessas D, Bonomi F, Piubelli L, Molla G, Pollegioni L</author>\n    <category>Protein Sci</category>\n    <guid isPermaLink="false">PubMed:18218720</guid>\n</item>	10	1213831586
2	<item>\n    <title>Gamendazole, an Orally Active Indazole Carboxylic Acid Male Contraceptive Agent, Targets HSP90AB1 (HSP90BETA) and EEF1A1 (eEF1A), and Stimulates Il1a Transcription in Rat Sertoli Cells.</title>\n    <link>http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?tmpl=NoSidebarfile&amp;db=PubMed&amp;cmd=Retrieve&amp;list_uids=18218611&amp;dopt=Abstract</link>\n    <description>\n\t<![CDATA[<table border="0" width="100%"><tr><td align="left"><a href="http://www.biolreprod.org/cgi/pmidlookup?view=long&amp;pmid=18218611"><img src="http://www.ncbi.nlm.nih.gov/entrez/query/egifs/http:--highwire.stanford.edu-icons-externalservices-pubmed-standard-biolreprod_full_free.gif" border="0"/></a> </td><td align="right"><a href="http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=PubMed&amp;cmd=Display&amp;dopt=PubMed_PubMed&amp;from_uid=18218611">Related Articles</a></td></tr></table>\n        <p><b>Gamendazole, an Orally Active Indazole Carboxylic Acid Male Contraceptive Agent, Targets HSP90AB1 (HSP90BETA) and EEF1A1 (eEF1A), and Stimulates Il1a Transcription in Rat Sertoli Cells.</b></p>\n        <p>Biol Reprod. 2008 Jan 23;</p>\n        <p>Authors:  Tash JS, Chakrasali R, Jakkaraj SR, Hughes J, Smith SK, Hornbaker K, Heckert LL, Ozturk SB, Hadden MK, Kinzy TG, Blagg BS, Georg GI</p>\n        <p>Gamendazole was recently identified as an orally active anti-spermatogenic compound with anti-fertility effects. The cellular mechanism(s) through which these effects occur and the molecular target(s) of gamendazole action are currently unknown. Gamendazole was recently designed as a potent orally active anti-spermatogenic male contraceptive agent. We report here identification of binding targets and propose a testable mechanism of action for this anti-spermatogenic agent. HSP90AB1 (previously known as HSP90beta [heat shock 90 kDa protein 1, beta]) and EEF1A1 (previously known as eEF1A [eukaryotic translation elongation factor 1 alpha 1]) were identified as binding targets by biotinylated gamendazole (BT-GMZ) affinity purification from testis, Sertoli cells, and ID8 ovarian cancer cells, and confirmed by MALDI-TOF MS and western analysis. BT-GMZ bound to purified yeast HSP82 (homologue to mammalian HSP90AB1) and EEF1A1, but not TEF3 nor HBS1, and was competed by unlabeled gamendazole. However, gamendazole did not inhibit nucleotide binding by EEF1A1. Gamendazole binding to purified Saccharomyces cerevisiae HSP82 inhibited luciferase refolding, and was not competed by HSP90 drugs geldanamycin or novobiocin analogue, KU-1. Gamendazole elicited degradation of HSP90-dependent client proteins AKT1 and ERBB2 and had an antiproliferative effect in MCF-7 cells without inducing HSP90. These data suggested that gamendazole may represent a new class of selective HSP90AB1 and EEF1A1 inhibitors. Testis gene microarray analysis from gamendazole-treated rats showed a marked rapid increase in three interleukin 1 genes and Nfkbia (NF-kappaB inhibitor alpha) 4hrs after oral administration. A spike in IL1a transcription was confirmed by rt-PCR in primary Sertoli cells 60min after exposure to 100nM gamendazole, demonstrating Sertoli cells are a target. AKT1, NFKB, and interleukin 1 are known regulators of the Sertoli cell spermatid junctional complexes. A current model for gamendazole action posits this pathway links interaction with HSP90AB1 and EEF1A1 to the loss of spermatids and resulting infertility.</p>\n        <p>PMID: 18218611 [PubMed - as supplied by publisher]</p>\n    ]]></description>\n    <author> Tash JS, Chakrasali R, Jakkaraj SR, Hughes J, Smith SK, Hornbaker K, Heckert LL, Ozturk SB, Hadden MK, Kinzy TG, Blagg BS, Georg GI</author>\n    <category>Biol Reprod</category>\n    <guid isPermaLink="false">PubMed:18218611</guid>\n</item>	32	1213831580
3	<item>\n    <title>A conformationally isoformic thermophilic protein with high kinetic unfolding barriers.</title>\n    <link>http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?tmpl=NoSidebarfile&amp;db=PubMed&amp;cmd=Retrieve&amp;list_uids=18217202&amp;dopt=Abstract</link>\n    <description>\n\t<![CDATA[<table border="0" width="100%"><tr><td align="left"><a href="http://dx.doi.org/10.1007/s00018-008-7517-4"><img src="http://www.ncbi.nlm.nih.gov/entrez/query/egifs/http:--production.springer.de-OnlineResources-Logos-springerlink.gif" border="0"/></a> </td><td align="right"><a href="http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=PubMed&amp;cmd=Display&amp;dopt=PubMed_PubMed&amp;from_uid=18217202">Related Articles</a></td></tr></table>\n        <p><b>A conformationally isoformic thermophilic protein with high kinetic unfolding barriers.</b></p>\n        <p>Cell Mol Life Sci. 2008 Jan 24;</p>\n        <p>Authors:  Mishra R, Olofsson L, Karlsson M, Carlsson U, Nicholls IA, Hammarstr&#xF6;m P</p>\n        <p>The basis for the stability of thermophilic proteins is of fundamental interest for extremophile biology. We investigated the folding and unfolding processes of the homotetrameric Thermoanaerobacter brockii alcohol dehydrogenase (TBADH). TBADH subunits were 4.8 kcal/mol less stable towards guanidinium chloride (GdmCl) unfolding compared to urea, indicating ionic modulation of TBADH stability. Strongly denaturing conditions promoted mono-exponential unfolding kinetics with linear dependence on denaturant concentration. Here TBADH unfolded &gt;40-fold slower when extrapolated from urea as compared to GdmCl unfolding. A marked unfolding hysteresis was shown when comparing refolding and unfolding in urea. An unusual biphasic unfolding trajectory with an exceptionally slow phase at intermediate concentrations of GdmCl and urea was also observed. We advocate that TBADH forms two distinctly different tetrameric isoforms, and likely an ensemble of native states. This unusual supramolecular folding behavior has been shown responsible for formation of amyloidotic yeast prion strains and can have functional importance for TBADH.</p>\n        <p>PMID: 18217202 [PubMed - as supplied by publisher]</p>\n    ]]></description>\n    <author> Mishra R, Olofsson L, Karlsson M, Carlsson U, Nicholls IA, HammarstrÃ¶m P</author>\n    <category>Cell Mol Life Sci</category>\n    <guid isPermaLink="false">PubMed:18217202</guid>\n</item>	1	1213831573
4	<item>\n    <title>Chaperones in control of protein disaggregation.</title>\n    <link>http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?tmpl=NoSidebarfile&amp;db=PubMed&amp;cmd=Retrieve&amp;list_uids=18216875&amp;dopt=Abstract</link>\n    <description>\n\t<![CDATA[<table border="0" width="100%"><tr><td align="left"><a href="http://dx.doi.org/10.1038/sj.emboj.7601970"><img src="http://www.ncbi.nlm.nih.gov/entrez/query/egifs/http:--www.nature.com-images-lo_emboj.gif" border="0"/></a> </td><td align="right"><a href="http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=PubMed&amp;cmd=Display&amp;dopt=PubMed_PubMed&amp;from_uid=18216875">Related Articles</a></td></tr></table>\n        <p><b>Chaperones in control of protein disaggregation.</b></p>\n        <p>EMBO J. 2008 Jan 23;27(2):328-35</p>\n        <p>Authors:  Liberek K, Lewandowska A, Zietkiewicz S</p>\n        <p>The chaperone protein network controls both initial protein folding and subsequent maintenance of proteins in the cell. Although the native structure of a protein is principally encoded in its amino-acid sequence, the process of folding in vivo very often requires the assistance of molecular chaperones. Chaperones also play a role in a post-translational quality control system and thus are required to maintain the proper conformation of proteins under changing environmental conditions. Many factors leading to unfolding and misfolding of proteins eventually result in protein aggregation. Stress imposed by high temperature was one of the first aggregation-inducing factors studied and remains one of the main models in this field. With massive protein aggregation occurring in response to heat exposure, the cell needs chaperones to control and counteract the aggregation process. Elimination of aggregates can be achieved by solubilization of aggregates and either refolding of the liberated polypeptides or their proteolysis. Here, we focus on the molecular mechanisms by which heat-shock protein 70 (Hsp70), Hsp100 and small Hsp chaperones liberate and refold polypeptides trapped in protein aggregates.</p>\n        <p>PMID: 18216875 [PubMed - in process]</p>\n    ]]></description>\n    <author> Liberek K, Lewandowska A, Zietkiewicz S</author>\n    <category>EMBO J</category>\n    <guid isPermaLink="false">PubMed:18216875</guid>\n</item>	3	1213831569
5	<item>\n    <title>Salt dependent resistance against chemical denaturation of alkaline protease from a newly isolated haloalkaliphilic Bacillus sp.</title>\n    <link>http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?tmpl=NoSidebarfile&amp;db=PubMed&amp;cmd=Retrieve&amp;list_uids=18215518&amp;dopt=Abstract</link>\n    <description>\n\t<![CDATA[<table border="0" width="100%"><tr><td align="left"><a href="http://linkinghub.elsevier.com/retrieve/pii/S0960-8524(07)01030-9"><img src="http://www.ncbi.nlm.nih.gov/entrez/query/egifs/http:--linkinghub.elsevier.com-ihub-images-PubMedLink.gif" border="0"/></a> </td><td align="right"><a href="http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=PubMed&amp;cmd=Display&amp;dopt=PubMed_PubMed&amp;from_uid=18215518">Related Articles</a></td></tr></table>\n        <p><b>Salt dependent resistance against chemical denaturation of alkaline protease from a newly isolated haloalkaliphilic Bacillus sp.</b></p>\n        <p>Bioresour Technol. 2008 Jan 19;</p>\n        <p>Authors:  Dodia MS, Bhimani HG, Rawal CM, Joshi RH, Singh SP</p>\n        <p>Only few enzymes from haloalkaliphiles are biochemically characterized for their kinetic behaviour and stability. In view of this realization, an alkaline protease from Bacillus sp. AH-6, displaying salt-dependent resistance against chemical denaturation by Urea and Guanidium hydrochloride was investigated for denaturation and in vitro protein folding. The crude enzyme was highly resistant against urea (8M) denaturation up to 72h; however, on purification, it turned sensitive and got denatured within 2h. Interestingly, the purified enzyme regained the resistance in the presence of NaCl. Effective refolding of the purified enzyme was achieved with glycerol; however, other approaches such as lower protein concentrations, rapid dilution and slow removal of the denaturant did not further add to refolding. The results are important from the viewpoint that only few enzymes from haloalkaliphilic bacteria are characterized. Since the resistance against chemical denaturation is a rare phenomenon, the findings would enrich the knowledge on protein stability and denaturation. Besides, such biocatalysts would definitely have novel applications under harsh chemical environments.</p>\n        <p>PMID: 18215518 [PubMed - as supplied by publisher]</p>\n    ]]></description>\n    <author> Dodia MS, Bhimani HG, Rawal CM, Joshi RH, Singh SP</author>\n    <category>Bioresour Technol</category>\n    <guid isPermaLink="false">PubMed:18215518</guid>\n</item>	40	1213831567
6	<item>\n    <title>Pea Seed Lectin Folds and Oligomerizes via an Intermediate Not Represented in the Structural Hierarchy.</title>\n    <link>http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?tmpl=NoSidebarfile&amp;db=PubMed&amp;cmd=Retrieve&amp;list_uids=18215068&amp;dopt=Abstract</link>\n    <description>\n\t<![CDATA[<table border="0" width="100%"><tr><td align="left"><a href="http://dx.doi.org/10.1021/bi7019047"><img src="http://www.ncbi.nlm.nih.gov/entrez/query/egifs/http:--pubs.acs.org-images-acspubs.jpg" border="0"/></a> </td><td align="right"><a href="http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=PubMed&amp;cmd=Display&amp;dopt=PubMed_PubMed&amp;from_uid=18215068">Related Articles</a></td></tr></table>\n        <p><b>Pea Seed Lectin Folds and Oligomerizes via an Intermediate Not Represented in the Structural Hierarchy.</b></p>\n        <p>Biochemistry. 2008 Jan 24;</p>\n        <p>Authors:  K&#xFC;ster F, Seckler R</p>\n        <p>Large oligomeric proteins are usually thought to fold and assemble hierarchically: Domains fold and coalesce to form the subunits, and folded subunits can then associate to form the multimeric structure. We have investigated the refolding pathway of the beta-sheet protein pea seed lectin using spectroscopic and hydrodynamic techniques. In vivo, it is proteolytically processed post-translationally, so that the single-domain subunits of the initial homodimer themselves become heterodimers of intertwined fragment polypeptide chains. Despite this complex topology, mature pea seed lectin reassembles with considerable efficiency at low total protein concentration (10 mug/mL) and low temperature (10 degrees C), albeit very slowly (t1/2 approximately 2 days). Contrary to expectations, the primary assembly product is not the intact beta-sheet domain, but the larger fragment chains first dimerize to form the native-like subunit interface. The smaller fragment chains then associate with this preformed dimer.</p>\n        <p>PMID: 18215068 [PubMed - as supplied by publisher]</p>\n    ]]></description>\n    <author> KÃ¼ster F, Seckler R</author>\n    <category>Biochemistry</category>\n    <guid isPermaLink="false">PubMed:18215068</guid>\n</item>	23	1213831565
7	<item>\n    <title>Helix formation is a dynamical bottleneck in the recovery reaction of Photoactive Yellow Protein.</title>\n    <link>http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?tmpl=NoSidebarfile&amp;db=PubMed&amp;cmd=Retrieve&amp;list_uids=18214984&amp;dopt=Abstract</link>\n    <description>\n\t<![CDATA[<table border="0" width="100%"><tr><td align="left"><a href="http://dx.doi.org/10.1002/prot.21902"><img src="http://www.ncbi.nlm.nih.gov/entrez/query/egifs/http:--www3.interscience.wiley.com-images-wiley_interscience_134x30.gif" border="0"/></a> </td><td align="right"><a href="http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=PubMed&amp;cmd=Display&amp;dopt=PubMed_PubMed&amp;from_uid=18214984">Related Articles</a></td></tr></table>\n        <p><b>Helix formation is a dynamical bottleneck in the recovery reaction of Photoactive Yellow Protein.</b></p>\n        <p>Proteins. 2008 Jan 23;</p>\n        <p>Authors:  Vreede J, Hellingwerf KJ, Bolhuis PG</p>\n        <p>The bacterial sensor Photoactive Yellow Protein (PYP) signals the presence of blue light by undergoing a series of conformational changes. We present atomistic Parallel Tempering (Replica Exchange Molecular Dynamics) simulations of conformational changes occurring during the photo-cycle of PYP. First, we study the signaling state formation of PYP in detail. Our previous simulations have shown that the formation of the signaling state is characterized by the solvent exposure of both the chromophore and Glu46 (Vreede J, Crielaard W, Hellingwerf KJ, Bolhuis PG. Biophys J, 2005;8:3525-3535). Subsequent NMR results agreed with this prediction, but as these experiments were performed on an N-terminally truncated mutant, a simulation of this mutant would further substantiate our previous results. Here, we compare simulations of the truncated PYP to the NMR structures, as well as to the wild type predictions. This comparison also gives some insight into the role of the N-terminal domain of PYP, which restricts the movement of the chromophore binding pocket (CBP) in the wild type. Second, we report simulations of the recovery of the receptor state from the signaling state. While we did not observe complete refolding of the protein, we did observe transient interactions between residues of the CBP occurring when the chromophore is in a trans configuration. Using simulations that sample anomalous exposure of the chromophore in the receptor state, we were able to sample chromophore re-entry into its binding pocket. While the involved time scales prohibit drawing definitive conclusions even when using parallel tempering, we nevertheless propose that the formation of a helix in the CBP is essential for a successful recovery of the receptor state, and forms a kinetic barrier in this process. Proteins 2008. (c) 2008 Wiley-Liss, Inc.</p>\n        <p>PMID: 18214984 [PubMed - as supplied by publisher]</p>\n    ]]></description>\n    <author> Vreede J, Hellingwerf KJ, Bolhuis PG</author>\n    <category>Proteins</category>\n    <guid isPermaLink="false">PubMed:18214984</guid>\n</item>	0	1213831562
8	<item>\n    <title>Fourier transform infrared spectroscopy analysis of the conformational quality of recombinant proteins within inclusion bodies.</title>\n    <link>http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?tmpl=NoSidebarfile&amp;db=PubMed&amp;cmd=Retrieve&amp;list_uids=18213662&amp;dopt=Abstract</link>\n    <description>\n\t<![CDATA[<table border="0" width="100%"><tr><td align="left"><a href="http://dx.doi.org/10.1002/biot.200700238"><img src="http://www.ncbi.nlm.nih.gov/entrez/query/egifs/http:--www3.interscience.wiley.com-images-wiley_interscience_134x30.gif" border="0"/></a> </td><td align="right"><a href="http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=PubMed&amp;cmd=Display&amp;dopt=PubMed_PubMed&amp;from_uid=18213662">Related Articles</a></td></tr></table>\n        <p><b>Fourier transform infrared spectroscopy analysis of the conformational quality of recombinant proteins within inclusion bodies.</b></p>\n        <p>Biotechnol J. 2008 Jan 22;</p>\n        <p>Authors:  Doglia SM, Ami D, Natalello A, Gatti-Lafranconi P, Lotti M</p>\n        <p>The solubility of recombinant proteins produced in bacterial cells is considered a key issue in biotechnology as most overexpressed polypeptides undergo aggregation in inclusion bodies, from which they have to be recovered by solubilization and refolding procedures. Physiological and molecular strategies have been implemented to revert or at least to control aggregation but they often meet only partial success and have to be optimized case by case. Recent studies have shown that proteins embedded in inclusion bodies may retain residual structure and biological function and question the former axiom that solubility and activity are necessarily coupled. This allows for a switch in the goals from obtaining soluble products to controlling the conformational quality of aggregated proteins. Central to this approach is the availability of analytical methods to monitor protein structure within inclusion bodies. We describe here the use of Fourier transform infrared spectroscopy for the structural analysis of inclusion bodies both purified from cells and in vivo. Examples are reported concerning the study of kinetics of aggregation and structure of aggregates as a function of expression levels, temperature and co-expression of chaperones.</p>\n        <p>PMID: 18213662 [PubMed - as supplied by publisher]</p>\n    ]]></description>\n    <author> Doglia SM, Ami D, Natalello A, Gatti-Lafranconi P, Lotti M</author>\n    <category>Biotechnol J</category>\n    <guid isPermaLink="false">PubMed:18213662</guid>\n</item>	5	1213831559
9	<item>\n    <title>Preheating induced homogeneity of the small heat shock protein from Methanococcus jannaschii.</title>\n    <link>http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?tmpl=NoSidebarfile&amp;db=PubMed&amp;cmd=Retrieve&amp;list_uids=18211832&amp;dopt=Abstract</link>\n    <description>\n\t<![CDATA[<table border="0" width="100%"><tr><td align="left"><a href="http://linkinghub.elsevier.com/retrieve/pii/S1570-9639(07)00308-1"><img src="http://www.ncbi.nlm.nih.gov/entrez/query/egifs/http:--linkinghub.elsevier.com-ihub-images-PubMedLink.gif" border="0"/></a> </td><td align="right"><a href="http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=PubMed&amp;cmd=Display&amp;dopt=PubMed_PubMed&amp;from_uid=18211832">Related Articles</a></td></tr></table>\n        <p><b>Preheating induced homogeneity of the small heat shock protein from Methanococcus jannaschii.</b></p>\n        <p>Biochim Biophys Acta. 2008 Jan 3;</p>\n        <p>Authors:  Cao A, Wang Z, Wei P, Xu F, Cao J, Lai L</p>\n        <p>Small heat shock proteins usually exhibit increased chaperone-like activity either at high temperatures or after preheating. However, the activation mechanism is still unclear. In the current study, we investigated the preheating-activation process of Mj HSP16.5, using various biophysical methods. Although Mj HSP16.5 was reported to be the most monodispersed sHSPs, we found that the newly purified Mj HSP16.5 was actually heterogeneous. 85 degrees C-preheating could activate Mj HSP16.5 and turn it into a more compact homogeneous species at the same time. Different cooling rates after preheating did not change the activity of Mj HSP16.5, suggesting that the 85 degrees C-preheated Mj HSP16.5 is in the most active and also the most stable state. These results demonstrate that the activation process of Mj HSP16.5 might accompany a refolding process.</p>\n        <p>PMID: 18211832 [PubMed - as supplied by publisher]</p>\n    ]]></description>\n    <author> Cao A, Wang Z, Wei P, Xu F, Cao J, Lai L</author>\n    <category>Biochim Biophys Acta</category>\n    <guid isPermaLink="false">PubMed:18211832</guid>\n</item>	3	1213831556
10	<item>\n    <title>Common and specific mechanisms of AAA+ proteins involved in protein quality control.</title>\n    <link>http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?tmpl=NoSidebarfile&amp;db=PubMed&amp;cmd=Retrieve&amp;list_uids=18208398&amp;dopt=Abstract</link>\n    <description>\n\t<![CDATA[<table border="0" width="100%"><tr><td align="left"><a href="http://www.biochemsoctrans.org/bst/036/0120/bst0360120.htm"><img src="http://www.ncbi.nlm.nih.gov/entrez/query/egifs/-PMGifs-Toolbar-button_bst.gif" border="0"/></a> </td><td align="right"><a href="http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=PubMed&amp;cmd=Display&amp;dopt=PubMed_PubMed&amp;from_uid=18208398">Related Articles</a></td></tr></table>\n        <p><b>Common and specific mechanisms of AAA+ proteins involved in protein quality control.</b></p>\n        <p>Biochem Soc Trans. 2008 Feb;36(Pt 1):120-5</p>\n        <p>Authors:  Mogk A, Haslberger T, Tessarz P, Bukau B</p>\n        <p>A protein quality control system, consisting of molecular chaperones and proteases, controls the folding status of proteins and mediates the refolding or degradation of misfolded proteins. Ring-forming AAA+ (ATPase associated with various cellular activities) proteins play crucial roles in both processes by co-operating with either peptidases or chaperone systems. Peptidase-associated AAA+ proteins bind substrates and thread them through their axial channel into the attached proteolytic chambers for degradation. In contrast, the AAA+ protein ClpB evolved independently from an interacting peptidase and co-operates with a cognate Hsp70 (heat-shock protein 70) chaperone system to solubilize and refold aggregated proteins. The activity of this bi-chaperone system is crucial for the survival of bacteria, yeast and plants during severe stress conditions. Hsp70 acts at initial stages of the disaggregation process, enabling ClpB to extract single unfolded polypeptides from the aggregate via a threading activity. Although both classes of AAA+ proteins share a common threading activity, it is apparent that their divergent evolution translates into specific mechanisms, reflecting adaptations to their respective functions. The ClpB-specific M-domain (middle domain) represents such an extra feature that verifies ClpB as the central disaggregase in vivo. M-domains act as regulatory devices to control both ClpB ATPase activity and the Hsp70-dependent binding of aggregated proteins to the ClpB pore, thereby coupling the Hsp70 chaperone activity with the ClpB threading motor to ensure efficient protein disaggregation.</p>\n        <p>PMID: 18208398 [PubMed - in process]</p>\n    ]]></description>\n    <author> Mogk A, Haslberger T, Tessarz P, Bukau B</author>\n    <category>Biochem Soc Trans</category>\n    <guid isPermaLink="false">PubMed:18208398</guid>\n</item>	14	1213831554
