refolding_id	assay_id
5	15
7	15
8	15
9	15
11	19
12	15
13	15
14	15
15	18
16	16
17	11
18	17
20	15
21	15
22	15
23	15
24	15
25	25
26	15
27	15
28	19
29	15
30	11
30	25
31	15
32	25
33	15
34	25
35	15
36	19
38	15
39	19
40	19
41	19
42	19
43	13
44	15
45	20
46	20
47	15
48	25
49	21
50	21
51	21
52	15
53	25
54	15
55	15
56	15
57	16
58	15
60	15
62	16
63	10
64	15
65	15
66	15
67	15
68	19
70	15
71	15
72	19
73	15
74	15
75	21
76	13
77	15
78	25
79	21
80	14
81	25
82	15
83	19
84	19
85	14
86	15
87	15
88	19
89	14
90	15
91	19
92	15
93	15
94	15
95	15
96	15
97	10
98	21
99	15
100	15
101	21
102	21
103	15
104	15
105	21
106	21
107	23
108	14
110	15
111	15
112	15
113	15
114	15
115	15
116	15
117	15
118	15
119	15
120	15
121	15
122	19
124	15
126	15
127	15
128	19
129	2
132	19
134	3
135	19
138	15
139	15
140	2
142	15
142	25
142	26
144	14
146	14
151	4
154	15
155	2
156	19
158	19
159	19
161	11
163	11
164	11
165	11
167	21
168	11
169	26
170	25
171	19
172	19
172	29
173	14
174	14
175	11
176	14
179	15
181	15
182	27
184	14
185	14
186	2
186	15
186	29
188	19
189	19
190	28
191	29
192	26
192	27
193	15
194	4
195	28
196	19
197	26
198	29
199	29
200	27
201	14
202	2
202	3
202	4
202	26
202	29
202	68
203	15
204	14
205	19
206	19
207	30
208	30
209	19
210	15
211	15
212	19
213	19
214	15
215	25
216	29
217	30
218	28
219	29
220	31
221	27
222	27
223	15
224	19
225	19
226	19
227	1
228	29
229	19
230	15
231	27
232	2
233	19
234	24
236	21
237	21
238	1
240	27
241	2
242	19
243	28
245	29
246	29
247	15
248	15
249	21
250	21
251	10
252	34
253	19
255	14
256	19
258	29
259	29
260	35
261	35
262	35
263	4
264	15
265	36
267	15
268	15
269	15
270	15
271	1
273	1
274	15
275	15
276	1
277	19
278	2
279	19
280	19
281	19
283	27
284	19
285	32
286	32
287	19
289	15
290	15
291	15
292	27
293	15
294	34
295	2
296	31
297	21
298	1
299	21
300	21
301	15
302	30
303	30
304	16
306	30
307	1
308	30
309	30
310	31
311	15
312	30
313	29
314	27
315	15
317	16
318	16
319	27
320	27
320	28
320	29
321	1
322	27
323	30
324	30
325	37
326	37
327	37
328	37
329	28
330	29
331	2
332	29
333	19
334	29
335	1
336	29
337	15
338	15
339	15
340	26
341	26
342	29
343	28
344	29
345	29
346	21
347	27
348	2
349	32
350	29
351	15
352	29
353	29
354	29
355	19
356	29
357	38
358	19
359	19
360	31
361	19
363	11
364	31
365	39
366	21
367	19
368	21
369	31
370	27
371	32
372	21
373	31
374	15
375	15
376	15
378	38
379	32
380	31
381	29
382	29
383	26
384	40
385	28
386	2
387	31
388	38
389	21
390	15
391	15
392	19
393	32
394	32
395	28
396	15
397	27
398	15
398	38
399	28
400	2
400	19
400	29
400	30
403	40
417	3
417	15
417	27
420	15
422	2
422	19
422	29
422	30
422	41
423	2
423	19
423	29
423	30
423	41
425	2
425	19
425	29
425	30
425	41
426	2
426	19
426	29
426	30
426	41
428	2
428	19
428	29
428	30
428	41
429	2
429	19
429	29
429	30
429	41
430	2
430	19
430	29
430	30
430	41
431	2
431	19
431	29
431	30
431	41
432	2
432	19
432	29
432	30
432	41
433	2
433	19
433	29
433	30
433	41
434	2
434	19
434	29
434	30
434	41
438	3
438	15
438	27
439	3
439	15
439	27
440	3
440	15
440	27
442	15
443	15
444	15
445	15
446	27
446	29
447	21
447	27
447	29
448	12
448	42
449	12
449	42
450	43
452	15
454	25
455	15
456	15
457	12
457	42
458	12
458	42
461	12
461	42
462	12
462	42
463	12
463	42
464	12
464	42
465	19
466	19
467	19
468	21
471	25
472	2
473	2
476	14
476	19
477	15
477	19
478	19
479	19
480	19
481	2
481	4
481	21
481	29
482	9
485	44
487	29
488	44
489	29
490	30
491	21
491	26
491	29
492	39
493	26
493	32
494	39
495	27
495	44
496	27
496	44
497	15
498	15
499	28
500	28
501	2
502	2
503	4
503	21
504	29
506	16
507	16
509	14
510	2
510	4
511	2
511	4
512	2
512	4
513	2
513	4
514	2
514	4
515	29
517	4
517	14
517	20
518	4
518	14
518	20
519	4
519	14
519	20
520	29
520	45
521	21
522	21
522	46
523	40
523	47
525	40
525	47
526	40
526	47
527	43
528	43
529	21
530	21
532	2
532	19
532	21
532	29
532	42
533	2
533	19
533	21
533	29
533	42
534	2
534	19
534	21
534	29
534	42
535	2
535	19
535	21
535	29
535	42
536	2
536	19
536	21
536	29
536	42
537	2
537	19
537	21
537	29
537	42
538	2
538	19
538	21
538	29
538	42
539	29
539	45
540	27
541	15
542	2
542	11
543	2
543	11
544	47
545	15
545	26
546	2
546	4
546	10
546	30
546	31
547	2
547	4
547	10
547	30
547	31
548	2
548	4
548	10
548	30
548	31
549	2
549	15
549	29
550	2
550	15
550	29
551	2
551	15
551	29
553	2
553	4
553	10
553	30
553	48
554	2
554	15
554	29
555	2
555	15
555	29
556	2
556	15
556	29
557	2
557	15
557	29
558	2
558	15
558	29
559	2
559	15
559	29
560	2
560	15
560	29
561	21
561	30
562	2
563	19
563	45
567	28
567	29
567	32
568	28
568	29
568	32
569	28
569	29
569	32
571	2
571	19
571	29
571	30
571	31
572	2
572	19
572	29
572	30
572	31
573	2
573	19
573	29
573	30
573	31
574	29
575	29
579	31
580	30
581	26
581	29
582	30
583	31
584	21
585	21
586	21
587	2
587	29
587	30
588	29
588	49
589	21
590	21
592	15
595	4
596	15
596	31
598	47
599	47
600	19
601	15
602	15
603	15
604	15
605	21
606	14
607	14
608	14
609	14
610	31
610	44
611	36
611	43
612	32
613	32
614	46
615	2
616	2
617	14
618	14
619	28
619	44
620	15
620	45
622	21
622	26
623	21
623	26
624	21
624	26
625	21
625	45
625	50
626	29
626	30
626	51
627	27
628	2
629	2
630	2
631	29
632	15
632	21
633	15
633	21
635	15
635	21
636	15
636	21
637	15
637	21
638	15
638	21
639	15
639	21
640	15
640	21
641	15
641	21
642	15
642	21
643	15
643	21
644	15
644	21
645	15
645	21
646	15
646	21
647	15
647	21
648	15
648	21
649	15
649	21
650	15
650	21
651	15
651	21
652	15
652	21
653	15
653	21
654	15
654	21
655	15
655	21
656	15
656	21
657	15
657	21
658	15
658	21
659	15
659	21
660	15
660	21
661	15
661	21
662	21
662	52
663	15
663	21
664	39
666	21
666	45
667	29
667	30
667	32
668	29
668	30
668	32
669	2
669	31
669	32
670	19
671	15
672	15
673	15
674	19
675	21
675	29
675	53
676	4
677	15
677	21
678	2
678	15
678	54
679	15
680	15
681	15
682	21
682	55
