refolding_id	project_aim_id
5	1
7	5
8	5
9	1
11	1
12	1
13	1
14	1
15	1
16	6
17	6
18	6
20	1
21	2
22	7
23	1
24	1
25	8
26	1
27	5
28	1
29	1
30	1
31	6
32	1
33	1
34	1
35	1
36	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
49	6
49	13
50	1
51	1
52	1
53	1
54	1
55	6
56	1
57	3
58	1
60	1
62	1
63	6
64	6
65	5
66	5
67	1
68	6
70	1
71	1
72	1
73	5
74	1
75	6
76	6
77	6
78	6
79	6
80	1
81	1
82	5
83	5
84	6
85	1
85	13
86	5
87	5
88	3
89	1
90	1
91	5
92	5
93	5
94	5
95	6
96	2
97	4
98	6
99	5
100	5
101	5
102	1
103	6
104	6
105	5
106	5
107	9
108	1
110	8
111	6
112	1
113	5
114	6
115	3
116	9
117	5
118	1
119	6
120	6
121	6
122	1
124	5
126	5
127	5
128	5
129	6
132	9
134	2
135	1
138	1
139	6
140	9
142	1
144	6
146	6
151	6
154	5
155	9
156	1
158	5
159	6
161	4
163	4
164	4
165	4
167	3
168	4
169	5
170	3
171	5
172	5
173	5
174	5
175	6
176	5
179	1
181	1
182	9
184	1
185	1
186	9
188	5
189	6
190	3
191	6
192	1
193	1
194	2
195	3
196	1
197	5
198	3
199	3
200	1
201	5
202	9
203	3
204	5
205	2
205	13
206	2
206	13
207	3
208	3
209	5
210	6
211	8
212	8
213	8
214	5
215	8
216	8
217	3
218	3
219	1
220	6
221	8
222	6
223	8
224	2
225	5
226	2
227	2
228	2
229	2
230	2
231	2
232	6
233	9
234	8
236	5
237	5
238	5
240	5
241	9
242	6
243	3
245	5
246	5
247	6
248	7
249	6
250	6
251	7
252	3
253	1
255	6
256	5
258	6
259	6
260	2
261	2
262	2
263	6
264	5
265	3
267	3
268	3
269	3
270	1
271	7
273	1
274	3
275	2
276	2
277	2
278	2
279	2
280	2
281	2
283	2
284	1
285	2
286	2
287	5
289	6
290	7
291	7
292	5
293	5
294	1
295	7
296	1
297	5
298	5
299	5
300	5
301	5
302	2
303	2
304	5
306	5
307	6
308	5
309	5
310	3
311	2
312	5
313	5
314	8
315	5
317	5
318	5
319	3
320	3
321	3
322	3
323	5
324	6
325	3
326	3
327	3
328	3
329	3
330	5
331	6
332	5
333	8
334	6
335	9
336	1
337	8
338	6
339	5
340	6
341	6
342	1
343	3
344	1
345	1
346	5
347	8
348	6
349	8
350	6
351	8
352	6
353	6
354	6
355	1
356	1
357	3
358	5
359	1
360	6
361	6
363	4
364	6
365	7
366	6
367	5
368	5
369	3
370	2
371	6
372	1
373	6
374	5
375	6
376	8
378	6
379	6
380	2
381	8
382	8
383	6
384	5
385	6
386	6
387	6
388	8
389	6
390	6
391	5
392	6
393	8
394	8
395	9
396	6
397	2
398	6
399	3
400	5
403	6
417	2
420	5
422	5
423	5
425	5
426	5
