report_id	journal_id	authors	year	title	volume	pages	pubmed	notes	user_id
11	10	Ramage P, Cheneval D, Chvei M, Graff P, Hemmig R, Heng R, Kocher HP, Mackenzie A, Memmert K, Revesz L, Wishart W	1995	Expression, refolding, and autocatalytic proteolytic processing of the interleukin-1 beta-converting enzyme precursor.	270	9378-9383	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=7721861&dopt=Abstract		2
12	10	Schrattenholz A, Pfeiffer S, Pejovic V, Rudolph R, Godovac-Zimmermann J, Maelicke A	1998	Expression and renaturation of the N-terminal extracellular domain of torpedo nicotinic acetylcholine receptor alpha-subunit.	273	32393-9	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9829968&dopt=Abstract		2
13	9	\nXie Y, Lashuel HA, Miroy GJ, Dikler S, Kelly JW.	1998	Recombinant human retinol-binding protein refolding, native disulfide formation, and characterization	14	31-37	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9758748&dopt=Abstract		2
14	21	DeLoskey RJ, Van Dyk DE, Van Aken TE, Campbell-Burk S.	1994	Isolation and refolding of H-ras from inclusion bodies of Escherichia coli: refold procedure and comparison of refolded and soluble H-ras.	311	72-78	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8185322&dopt=Abstract		2
15	2	Takayama TK, McMullen BA, Nelson PS, Matsumura M, Fujikawa K.	2001	Characterization of hK4 (prostase), a prostate-specific serine protease: activation of the precursor of prostate specific antigen (pro-PSA) and single-chain urokinase-type plasminogen activator and degradation of prostatic acid phosphatase.	40	15341-15348	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=11735417&dopt=Abstract		2
16	8	Zahn R, von Schroetter C, Wuthrich K.	1997	Human prion proteins expressed in Escherichia coli and purified by high-affinity column refolding.	417	400-404	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9409760&dopt=Abstract		2
17	9	\nMehta DV, DiGate RJ, Banville DL, Guiles RD.	1997	Optimized gene synthesis, high level expression, isotopic enrichment, and refolding of human interleukin-5.	11	86-94	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9325143&dopt=Abstract		2
18	9	\nTan CA, Hehir MJ, Roberts MF.	1997	Cloning, overexpression, refolding, and purification of the nonspecific phospholipase C from Bacillus cereus.	10	365-372	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9268684&dopt=Abstract		2
20	9	Hahm MS, Chung BH.	2001	Refolding and purification of yeast carboxypeptidase Y expressed as inclusion bodies in Escherichia coli.	22	101-107	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=11388806&dopt=Abstract		2
21	9	Garcia-Saez I, Plasterk RH.	2000	Purification of the Caenorhabditis elegans transposase Tc1A refolded during gel filtration chromatography.	19	355-361	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=10910725&dopt=Abstract		2
