species_id	common_name	scientific_name	user_id
1	Human		2
2	Bovine		2
3	Mouse		2
4	Rat		2
5	Horse (Equus caballus)		2
6	Yeast (Saccharomyces cerevisiae)		2
7	Escherichia coli		2
8	Barley (Hordeum vulgare)		2
9	Chicken (Gallus gallus)		2
10	Drosophila melanogaster		2
12	Bacillus subtilis		2
13	Bacillus caldolyticus		2
14	Thermotoga maritima		2
15	Peptostreptococcus magnus		2
16	Aqueorea victoria		2
17	Taiwan habu (Trimeresurus mucrosquamatus)		2
18	Dog (Canis familiaris)		2
19	Porphyromonas gingivalis		2
20	Bothrops jararacussu		2
21	Rhizopus chinensis		2
22	Spinacia oleracea		2
23	Trypanosoma brucei		2
24	Rice		2
25	Torpedo marmorata		2
26	Yeast (Candida albicans)		2
27	Bacillus cereus		2
28	C. elegans		2
29	Bacteriophage lambda		2
30	Phage P22		2
31	Taiwan cobra		2
32	Saccharopolyspora erythraea		2
33	Zymomonas mobilis		2
34	Loligo vulgaris		2
35	Torpedo californica		2
36	Ricinus communis		2
37	Maize		2
38	Bonnet Monkey		2
39	Trypanosoma cruzi		2
40	Pneumocystis carinii		2
41	Yeast (Candida rugosa)		2
42	Neisseria meningitidis		2
43	Aeromonas salmonicida		2
44	Bacillus thermoproteolyticus		2
45	Bryonica dioica		2
46	Hepatitis B virus		2
47	Streptomyces exfoliatus		2
48	Phanerochaete chrysosporium		2
49	Bacillus circulans		2
50	Erwinia chrysanthemi		2
51	Saccharomycopsis fibuligera		2
52	Erythrina cristagalli		2
53	Mycoplasma arginini		2
54	Oreochromis niloticus		2
55	Mycobacterium tuberculosis		2
56	Bacillus thuringiensis		2
57	HIV		2
58	Cucurbita pepo (Squash)		2
59	Streptococcus pneumoniae		2
60	Pseudomonas aeruginosa		2
61	Cobra (naja naja naja)		2
62	Sulfolobus acidocaldarius		2
63	Pseudomonas sp.		2
64	Clostridium sticklandii		2
65	Clostridium difficile		2
66	Leishmania mexicana		2
67	Scorpion (C. noxius)		2
68	Dengue virus type 2		2
69	Candida albicans		2
70	Bacillus licheniformis		2
71	Clostridium thermocellum		2
72	Western equine encephalitis		2
73	Unknown		2
74	Sub		7
76	Salmonella typhi Ty21a		71
77	Pig (Longissimus dorsi)		71
78	Arabidopsis thaliana		71
79	Bacillus macerans		71
80	Dermatophagoides farinae (dust mite)		71
81	Chlamydophila abortus		71
82	Rhodopseudomonas blastica		71
83	Human papillomavirus		71
84	Pyrococcus woesei		71
85	Synechochystis sp. PCC 6803		71
86	Multiple species		71
87	Plasmodium falciparum		71
88	Plecoglossus altivelis (ayu)		71
89	Epinephelus awoara (yellow grouper fish)		71
90	Trifolium repens		71
91	Plasmodium chabaudi		71
92	Felis domesticus (cat)		71
93	Ovis aries (sheep/ovine)		71
94	Rabbit (Oryctolagus cuniculus)		71
95	Gilthead seabream (Sparus aurata)		71
96	Human rhinovirus		71
97	Archaeoglobus fulgidus		120
98	Anopheles gambiae		138
99	Litopenaeus vannamei		149
100	Rhodnius prolixus		151
101	Cimex lectularius		151
102	Physeter catodon		154
103	Plasmodium Vivax		134
104	Arachis Hypogaea		162
