homologue_id	protein_id	species_id	user_id	uniprot	swiss_prot_trembl	structure_solved	sunid_p	notes	hits
1	38	1	4	P05121	NULL	y	56588	NULL	0
2	40	1	4	Q99574	NULL	homologue only	n/a	NULL	0
3	41	1	4	P43235	NULL	y	54029	NULL	0
4	42	1	4	P08294	NULL	y	49333	NULL	0
5	44	1	4	P01241	NULL	y	47277	NULL	0
6	45	1	4	P01009	NULL	y	56583	NULL	0
7	46	1	4	P01011	NULL	y	56581	NULL	0
8	47	1	4	P05155	NULL	homologue only	n/a	NULL	0
9	48	16	4	P07164	NULL	y	47513	NULL	0
10	49	1	4	P04637	NULL	domains only	49420	NULL	0
11	50	1	4	P35225	NULL	y	63533	NULL	0
12	131	1	4	P49638	NULL	y	102204	NULL	0
13	52	17	4	Q91511	NULL	n	n/a	NULL	0
14	53	18	4	P81708	NULL	y	53971	NULL	0
15	54	7	4	Q8FI03	NULL	homologue only	n/a	NULL	0
16	55	1	4	P39900	NULL	y	69781	NULL	0
17	56	2	4	P00794	NULL	y	50668	NULL	0
18	57	19	4	P28784	NULL	y	52139	NULL	0
19	58	20	4	Q90249	NULL	homologue only	n/a	NULL	0
20	59	1	4	P49863	NULL	y	82125	NULL	0
21	60	1	4	P01133	NULL	y	69939	NULL	0
22	61	21	4	P06026	NULL	y	50651	NULL	0
23	62	2	4	P61823	NULL	y	54079	NULL	0
24	63	22	4	P00825	NULL	y	64024	NULL	0
25	64	1	4	P60568	NULL	y	47302	NULL	0
26	65	1	4	Q9NBD4	NULL	homologue only	n/a	NULL	0
27	66	1	4	P23560	NULL	y	57522	NULL	0
28	67	23	4	Q7Z032	NULL	n	n/a	NULL	0
29	68	1	4	P00747	NULL	y	63401	NULL	0
30	70	1	4	Q14627	NULL	homologue only	n/a	NULL	0
31	71	1	4	Q28603	NULL	y	47283	NULL	0
32	72	1	4	P20783	NULL	y	57522	NULL	0
33	73	3	4	P07750	NULL	homologue only	n/a	NULL	0
34	74	1	4	P01579	NULL	y	47320	NULL	0
35	75	1	4	P01308	NULL	y	56998	NULL	0
36	76	24	4	IBBR_ORYSA	NULL	homologue only	n/a	NULL	0
37	77	9	4	P28497	NULL	y	90097	NULL	0
38	78	9	4	P14315	NULL	y	90100	NULL	0
39	79	1	4	P07339	NULL	y	50666	NULL	0
40	80	1	4	P29466	NULL	y	52134	NULL	0
41	82	25	4	P02711	NULL	y	90115	NULL	0
42	83	1	4	P02753	NULL	y	50819	NULL	0
43	84	1	4	P01112	NULL	y	52594	NULL	0
44	85	1	4	Q9Y5K2	NULL	homologue only	n/a	NULL	0
45	86	1	4	P04156	NULL	y	54103	NULL	0
46	87	1	4	P05113	NULL	y	47294	NULL	0
47	88	27	4	P09598	NULL	y	48540	NULL	0
48	89	26	4	P30574	NULL	homologue only	n/a	NULL	0
49	90	28	4	P03934	NULL	n	n/a	NULL	0
50	81	6	4	P15436	NULL	n	n/a	NULL	0
51	100	29	4	P03707	NULL	domains only	74698	NULL	0
52	97	7	4	P0A698	NULL	n	n/a	NULL	0
53	94	31	4	CX3_NAJAT	NULL	y	57338	NULL	0
54	92	4	4	METK_RAT	NULL	y	55977	NULL	0
55	93	32	4	P48635	NULL	y	48273	NULL	0
56	95	33	4	Q60114	NULL	homologue only	n/a	NULL	0
57	96	1	4	P45452	NULL	y	55541	NULL	0
58	99	1	4	P02771	NULL	homologue only	n/a	NULL	0
59	108	6	4	P35196	NULL	n	n/a	NULL	0
60	101	35	4	P04414	NULL	y	82781	NULL	0
61	107	1	4	P21246	NULL	n	n/a	NULL	0
62	112	36	4	P59287	NULL	n	n/a	NULL	0
63	119	37	4	P49235	NULL	y	51525	NULL	0
64	111	38	4	O19027	NULL	n	n/a	NULL	0
65	121	39	4	P26796	NULL	n	n/a	NULL	0
66	109	40	4	P16184	NULL	y	53608	NULL	0
67	116	1	3	P03369	NULL	y	50633	NULL	0
68	115	4	3	P16235	NULL	n	n/a	NULL	0
69	146	1	4	Q9TPK7	NULL	homologue only	n/a	NULL	0
70	144	71	4	P32948	NULL	y	53568	NULL	0
71	141	1	4	P98073	NULL	homologue only	n/a	NULL	0
72	159	42	4	P30688	NULL	n	n/a	NULL	0
73	156	1	4	P10415	NULL	y	64525	NULL	0
74	158	43	4	P35823	NULL	n	n/a	NULL	0
75	157	7	4	P11458	NULL	n	n/a	NULL	0
76	149	44	4	P00800	NULL	y	55494	NULL	0
77	161	45	4	P33185	NULL	y	56376	NULL	0
78	160	46	4	X_HPBV2	NULL	n	n/a	NULL	0
79	148	47	4	O87916	NULL	y	69317	NULL	0
80	167	1	4	P01215	NULL	y	63397	NULL	0
81	166	7	4	P0A9N4	NULL	y	52001	NULL	0
82	168	22	4	P00833	NULL	homologue only	n/a	NULL	0
83	163	48	4	Q12170	NULL	y	48122	NULL	0
84	164	1	4	P07858	NULL	y	54023	NULL	0
85	162	49	4	P04830	NULL	y	49216	NULL	0
86	147	50	4	Q47266	NULL	homologue only	n/a	NULL	0
87	151	2	4	P21793	NULL	n	n/a	NULL	0
88	150	48	4	Q01787	NULL	y	48116	NULL	0
89	152	51	4	Q8TFE5	NULL	y	48212	NULL	0
90	155	1	4	P49765	NULL	n	n/a	NULL	0
91	140	52	4	P83410	NULL	y	74903	NULL	0
92	138	7	4	Q46944	NULL	n	n/a	NULL	0
93	169	53	4	P23793	NULL	y	103235	NULL	0
94	173	54	4	P09319	NULL	n	n/a	NULL	0
95	174	54	4	P09318	NULL	n	n/a	NULL	0
96	175	55	4	Q7TX69	NULL	homologue only	n/a	NULL	0
97	172	1	4	P08571	NULL	n	n/a	NULL	0
98	176	57	4	P03369	NULL	y	50633	NULL	0
99	114	1	4	P04080	NULL	y	54415	NULL	0
100	113	1	4	P07711	NULL	y	54027	NULL	0
101	123	3	4	P12032	NULL	homologue only	n/a	NULL	0
102	122	58	2	P23279	NULL	homologue only	n/a	NULL	0
103	126	22	2	Q9SM44	NULL	n	n/a	NULL	0
104	125	59	2	P0A3M5	NULL	homologue only	n/a	NULL	0
105	124	60	2	O05334	NULL	n	n/a	NULL	0
106	106	1	2	P00750	NULL	y	63401	NULL	0
107	105	61	2	P15445	NULL	y	48626	NULL	0
108	103	1	2	P00749	NULL	y	57454	NULL	0
109	102	62	2	P17118	NULL	n	n/a	NULL	0
110	130	1	2	P12643	NULL	y	57517	NULL	0
111	132	63	2	Q934G0	NULL	n	n/a	NULL	0
112	137	64	2	Q8VPJ5	NULL	n	n/a	NULL	0
113	135	66	2	P36400	NULL	homologue only	n/a	NULL	0
114	177	60	3	Q51487	NULL	n	n/a	NULL	0
115	181	1	3	Q969F0	NULL	n	n/a	NULL	0
116	182	67	3	P45663	NULL	homologue only	n/a	NULL	0
117	185	1	3	O95996	NULL	y	58591	NULL	0
118	120	7	3	P0AEX9	NULL	y	53863	NULL	0
119	153	1	3	P09237	NULL	y	55539	NULL	0
120	104	69	3	P34948	NULL	y	51193	NULL	0
121	117	1	3	P01034	NULL	y	64232	NULL	0
122	128	70	3	Q53521	NULL	homologue only	n/a	NULL	0
123	207	71	3	Q9HCC1	NULL	y	88524	NULL	0
124	207	72	3	Q9HCC1	NULL	y	88524	NULL	0
125	207	3	2	Q9HCC1	NULL	y	88524	NULL	0
126	210	1	22	P10144	NULL	y	50590	NULL	0
127	211	76	71	P0A263	NULL	n	n/a	NULL	0
128	193	1	71	P07477	NULL	y	50519	NULL	0
129	189	1	71	Q15116	NULL	homologue only	n/a	NULL	0
130	204	1	71	P21796	NULL	n	n/a	NULL	0
131	203	78	71	Q8LEM4	NULL	n	n/a	NULL	0
132	197	1	71	P02768	NULL	y	48555	NULL	0
133	195	1	71	P02768	NULL	y	48555	NULL	0
134	196	1	71	P02768	NULL	y	48555	NULL	0
135	212	1	76	P01848; P01850	NULL	y		NULL	0
136	205	71	71	Q06851	NULL	domains only	49392	NULL	0
137	190	77	71	O18831	NULL	n	n/a	NULL	0
138	146	1	77	Q9TPK7	NULL	homologue only	n/a	NULL	0
139	187	1	71	P55851	NULL	n	n/a	NULL	0
140	200	1	71	P54283	NULL	homologue only	n/a	NULL	0
141	183	1	71	P06126	NULL	domains only	102838	NULL	0
142	184	1	71	P29016	NULL	y	75378	NULL	0
143	186	1	71	P21802	NULL	y	49181	NULL	0
144	213	3	71	n/a	NULL	homologue only	n/a	NULL	0
145	162	79	71	P04830	NULL	y	49216	NULL	0
146	214	3	71	n/a	NULL	y	48727	NULL	0
147	215	80	71	Q00855	NULL	y	49257	NULL	0
148	216	65	71	P16154	NULL	n	n/a	NULL	0
149	217	65	71	P18177	NULL	n	n/a	NULL	0
150	218	34	71	Q7SIG4	NULL	y	63830	NULL	0
151	145	1	71	P12319	NULL	y	49201	NULL	0
152	199	1	71	Q15582	NULL	n	n/a	NULL	0
153	220	82	71	P39767	NULL	y	56940	NULL	0
154	222	83	71	P03129	NULL	n	n/a	NULL	0
155	223	57	71	Q6YA62	NULL	y	56689	NULL	0
156	224	84	71	Q7LYT7	NULL	y	51013	NULL	0
157	225	3	71	Q5R3X4	NULL	y	88584	NULL	0
158	226	85	71	Q79EF9	NULL	n	n/a	NULL	0
159	74	1	71	P01579	NULL	y	47320	NULL	0
160	227	78	71	Q9ZRD6	NULL	y	64360	NULL	0
161	228	7	71	Q9L6J0	NULL	domains only	56927	NULL	0
162	229	7	71	P0A917	NULL	y	56929	NULL	0
163	230	73	71	P08700	NULL	homologue only	n/a	NULL	0
164	231	3	71	P01734	NULL	y	48933	NULL	0
165	232	1	71	P07315	NULL	domains only	49697	NULL	0
166	233	1	71	P08174	NULL	y	90173	NULL	0
167	234	87	71	O00784	NULL	domains only	71721	NULL	0
168	44	88	71	P01241	NULL	y	47277	NULL	0
169	44	89	71	P01241	NULL	y	47277	NULL	0
170	235	1	71	P42081	NULL	domains only	63635	NULL	0
171	236	1	71	P16410	NULL	y	48939	NULL	0
172	237	1	71	Q9HBE4	NULL	homologue only	n/a	NULL	0
173	238	90	71	Q6Y1E9	NULL	n	n/a	NULL	0
174	62	1	71	P61823	NULL	y	54079	NULL	0
175	62	1	71	P61823	NULL	y	54079	NULL	0
176	239	1	71	P15692	NULL	domains only	57506	NULL	0
177	113	1	71	P07711	NULL	y	54027	NULL	0
178	234	87	71	O00784	NULL	domains only	71721	NULL	0
179	234	91	71	O00784	NULL	domains only	71721	NULL	0
180	241	92	71	P30438	NULL	y	10135	NULL	0
181	242	1	71	O95944	NULL	domains only	89178	NULL	0
182	243	1	71	P37173	NULL	domains only	69951	NULL	0
183	244	1	71	P43220	NULL	n	n/a	NULL	0
184	236	1	71	P16410	NULL	y	48939	NULL	0
185	62	1	71	P61823	NULL	y	54079	NULL	0
